12,"181,180.00",46,250,14
3,"3,275.80",1025,1025,1
3,"63,750.00",1533,476,0
3,"2,800.00",544,544,0
1,160.3,655,655,0
1,449.2,1377,1377,0
3,334.62,701,577,2
1,"10,090.50",1124,1124,0
2,"7,869.28",1347,1347,1
2,334.62,215,577,0
1,236.34,619,619,0
3,95.05,1515,1515,1
3,"15,660.00",1368,1368,0
5,214.8,704,704,1
3,"91,549.96",827,827,0
3,"80,835.00",887,577,0
5,"228,000.00",768,768,1
2,"3,093.94",701,577,0
1,87.36,908,908,0
1,335.74,525,525,0
11,"5,400.00",247,1315,3
4,"35,763.75",207,207,0
7,"1,121.60",100,577,5
9,"205,218.10",1347,1347,8
4,"1,870.52",1155,577,1
3,"25,145.50",887,577,0
3,334.62,193,577,0
10,"261,573.81",208,1347,4
2,"8,460.00",1481,1481,14
4,"5,259.93",247,247,0
3,156.61,1492,1492,4
2,58.03,1436,577,1
3,334.62,624,577,0
3,"23,488.35",887,577,3
3,300.34,72,72,3
6,"5,304.10",340,340,8
4,397.08,571,577,12
4,839.61,80,80,1
14,"667,016.00",1368,1368,14
4,"80,282.22",273,273,3
14,"610,237.28",1082,1082,259
5,"62,500.00",1368,1368,1
1,59.36,957,957,0
5,"61,000.00",1566,1566,4
2,"3,574.32",210,577,4
1,27.49,1091,1091,0
1,123.76,957,957,0
1,33.84,729,729,0
3,334.62,662,577,0
8,"478,500.00",1570,1570,3
2,"66,373.58",1082,1082,0
2,33.8,895,895,1
8,"95,105.00",1211,577,4
12,"5,303.92",671,671,10
1,34.94,1446,1446,0
6,"1,101.06",8,8,1
1,34.82,455,455,0
4,"55,420.20",120,577,2
4,"1,639.92",1025,1025,6
1,248.71,810,810,0
7,"4,242.31",1,1123,5
47,"9,515,154.00",519,1364,522
2,"5,299.53",887,577,0
4,"1,750.00",86,577,3
2,116.39,869,577,0
2,"1,936.57",887,577,0
10,13.68,727,727,42
3,"13,029.00",120,577,0
2,305.59,348,348,0
4,"2,026.00",12,12,3
