,0,1,2,3,4
318,10,130000.0,595,198,11
319,10,57642.2,1347,1347,26
320,3,485.2,450,450,2
321,6,17957.74,1259,1259,189
322,3,1046.2,120,577,1
323,10,135088.5,1102,1442,6
324,2,21122.0,1347,1347,3
325,8,32796.0,598,598,7
326,9,31500.0,544,544,115
327,9,21804.49,208,1347,15
328,3,12800.0,14,14,3
329,3,144.9,644,577,4
330,4,38.52,260,577,2
331,2,18.58,1202,1202,1
332,4,6900.0,283,577,1
333,2,1288.0,857,857,1
334,4,660.81,969,969,0
335,3,432.89,630,577,1
336,12,5100.0,544,544,32
337,3,1530.64,1155,1155,0
338,3,2531.16,1123,1123,1
339,3,30000.0,453,453,1
340,5,35000.0,273,273,4
341,3,43803.57,722,577,0
342,3,334.62,1129,577,1
343,4,24000.0,1321,577,2
344,4,206074.0,1533,577,10
345,5,10.36,883,577,7
346,4,1084.85,673,673,7
347,4,5228.97,208,1347,3
348,6,2800.0,642,577,1
349,4,101400.0,887,887,6
350,2,337.61,796,954,0
351,42,2265250.0,373,1307,333
352,4,17988.0,68,68,5
353,2,125.92,746,577,0
354,4,90240.0,1533,577,3
355,3,10148.0,1347,1347,0
356,10,261573.81,208,1347,4
357,5,7125.0,104,577,4
358,1,148.82,557,557,0
359,4,1617.6,1310,409,1
360,1,59.39,133,133,0
361,4,96422.5,565,273,1
362,3,739.7,1467,577,0
363,4,32.96,404,577,12
364,2,27559.2,961,961,0
365,1,45.5,25,25,0
366,8,108309.43,1169,1169,11
367,3,32988.0,476,476,0
368,3,1934.98,677,677,1
369,3,14731.63,887,577,0
370,16,41907.31,1124,1124,11
371,11,5400.0,247,1315,3
372,2,310.36,544,544,1
373,1,7.72,85,85,0
374,1,12.86,1260,1260,0
375,6,1029.8,1357,1357,0
376,4,57660.0,1207,700,6
377,4,2139.67,247,247,0
378,10,2900.0,642,577,8
379,5,14082.08,1319,577,7
380,5,104000.0,39,39,9
381,3,152.56,1131,577,0
382,2,256.34,1293,577,0
383,12,10000.0,998,998,10
384,6,498000.0,1454,1454,9
385,3,55456.2,887,577,3
386,5,669.24,233,577,8
387,9,267168.0,603,615,10
388,8,26027.5,544,544,7
389,1,55.46,957,957,0
390,4,30594.12,603,779,5
391,3,7750.08,486,486,0
392,3,3235.25,255,255,3
393,8,205950.0,177,577,53
394,9,42250.0,54,615,16
395,2,51925.25,961,961,3
396,14,128350.0,177,873,16
397,2,1117.68,1062,1062,0
398,3,233.63,30,30,1
399,6,19027.29,470,470,26
400,2,10933.06,887,577,0
401,4,4500.0,1025,1025,1
402,4,108612.0,1412,854,5
403,5,47178.0,1571,577,2
404,2,8443.68,1347,1347,0
405,2,149.73,664,664,0
406,11,7176.0,486,486,28
407,6,97200.0,1224,1224,3
408,25,1835168.88,354,1472,380
409,13,16485.31,1315,1025,12
410,8,307595.0,827,827,16
411,6,9000.0,1396,577,3
412,14,147473.5,1525,1525,44
413,6,145.67,906,577,9
414,7,145200.0,768,768,14
415,1,3345.0,1224,1224,0
416,24,1975320.0,1584,198,45
417,5,121920.0,1218,1218,3
418,4,258.4,1431,577,0
419,1,95.78,505,505,4
420,2,1520.0,527,577,6
421,35,213800.0,128,198,146
422,4,6334.79,1082,577,1
423,7,57688.75,1508,1508,7
424,3,334.62,682,577,7
425,2,418.5,1062,1062,3
426,4,60.41,292,577,2
427,5,320904.0,1396,577,4
428,5,669.24,1116,577,2
429,4,248.41,514,577,1
430,5,13362.7,30,30,0
431,18,537515.0,1027,506,81
432,9,4224.35,1526,1123,13
433,10,21430.0,1062,1062,4
434,3,4911.33,1259,1259,3
435,1,160.3,655,655,0
436,1,449.2,1377,1377,0
437,3,334.62,701,577,2
438,7,56000.0,235,235,8
439,3,12146.4,1224,1224,1
440,4,19502.65,1155,577,5
441,2,334.62,215,577,0
442,1,236.34,619,619,0
443,3,95.05,1515,1515,1
444,10,27946.62,1347,1347,5
445,3,2503.74,964,964,2
446,6,2108.98,883,896,11
447,5,214.8,704,704,1
448,3,38000.0,887,887,3
449,4,13551.85,887,577,1
450,3,13153.44,208,1347,5
451,7,268755.0,1396,577,8
452,12,1198080.0,603,577,10
453,1,87.36,908,908,0
454,1,335.74,525,525,0
455,3,17365.6,324,577,0
456,4,102564.86,1347,1347,8
457,5,115568.49,1347,1347,1
458,5,33960.4,274,577,0
459,3,334.62,193,577,0
460,5,20000.0,1533,577,13
461,5,44316.0,247,247,6
462,3,156.61,1492,1492,4
463,2,58.03,1436,577,1
464,3,334.62,624,577,0
465,3,300.34,72,72,3
466,4,33612.31,1571,577,4
467,3,1680.0,455,455,3
468,4,9323.0,1211,1211,0
469,3,17741.19,208,1347,1
470,4,397.08,571,577,12
471,4,839.61,80,80,1
472,4,25671.6,1130,1130,4
473,4,32500.0,887,577,7
474,4,70.64,1460,1460,0
475,1,59.36,957,957,0
476,4,43035.63,1123,1123,0
477,22,748116.96,544,544,40
478,1,27.49,1091,1091,0
479,13,299506.5,901,1442,12
480,5,143500.0,1259,1259,5
481,1,123.76,957,957,0
482,1,33.84,729,729,0
483,5,143480.0,386,371,10
484,3,334.62,662,577,0
485,5,25.68,67,577,5
486,2,2997.38,342,577,1
487,2,33.8,895,895,1
488,12,120000.0,304,304,18
489,2,1475.0,1347,1347,0
490,16,550053.46,1253,109,27
491,3,17600.0,533,533,0
492,4,3535.0,1162,577,5
493,4,65696.8,247,247,4
494,2,4482.39,120,577,0
495,1,34.94,1446,1446,0
496,5,86320.27,1454,1454,2
497,1,34.82,455,455,0
498,2,97442.0,887,577,0
499,1,248.71,810,810,0
500,17,424500.0,1253,946,47
501,2,116.39,869,577,0
502,10,13.68,727,727,42
503,2,4452.63,887,577,0
504,2,305.59,348,348,0
505,2,639.6,1315,1315,0
506,5,37852.5,12,12,3
507,2,4229.4,887,577,0
508,1,65.36,1446,1446,0
509,2,7540.0,544,544,2
510,2,83470.8,887,577,3
511,4,372.95,7,577,11
512,2,4542.38,1439,577,0
513,7,45087.71,247,247,3
514,2,3150.0,938,938,3
515,3,22888.48,887,577,4
516,8,7870.6,1347,1347,1
517,1,770,1568,1568,0
518,2,3296.4,687,577,0
519,4,89.88,945,577,0
520,3,334.62,1044,577,3
521,4,334.62,912,577,0
522,2,3597.84,911,577,0
523,5,510.51,776,577,10
524,3,112.56,1397,577,0
525,4,18142.5,887,577,2
526,1,181.71,852,852,0
527,2,92.53,838,838,1
528,5,45111.0,1549,1549,2
529,4,20320.0,76,1062,4
530,3,334.62,411,577,2
531,2,315.5,887,577,3
532,5,28035.57,356,577,11
533,5,2171.94,141,141,2
534,2,2685.1,1071,577,0
535,2,10445.23,86,577,0
536,1,69.15,1446,1446,0
537,3,334.62,886,577,6
538,6,112880.0,209,925,11
539,6,3146.54,961,961,3
540,5,1500.0,598,598,5
541,5,339750.0,1218,1218,3
542,7,10747.44,819,819,8
543,1,108.05,521,521,0
544,2,2522.97,790,628,0
545,2,7.07,1583,577,6
546,5,166.84,782,782,3
547,6,53605.0,961,961,1
548,4,9464.38,1519,381,1
549,4,2238.41,889,577,3
550,1,159.2,411,411,0
551,2,11532.0,1124,1124,0
552,4,13175.0,120,577,5
553,1,1447.75,476,476,0
554,4,25900.0,671,671,1
555,1,13.35,1430,1430,0
556,8,115356.8,208,1347,12
557,12,160776.0,1153,1153,9
558,17,454090.0,680,680,11
559,6,54000.0,1333,1333,7
560,10,173320.1,953,953,5
561,3,293.68,562,577,0
562,20,13790.66,470,470,19
